Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional;Posición
CLINICA DENTAL RAQUEL GOMEZ;09-C251-0001;CL. SAN JUAN 5  D;09003;BURGOS;BURGOS;659900701;0;ESPECIALIZADOS: CLINICAS DENTALES;IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;GOMEZ PEREZ , RAQUEL TERESA;PRIVADOS;42.3430169, -3.6999628
CLINICA DENTAL REBECA ARIAS;24-C24-0303;CL. MAESTRO JOSE ALONSO BARRIO 25;24300;BEMBIBRE;LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ARIAS CRESPO , REBECA;PRIVADOS;42.618513, -6.417796
CLINICA DENTAL RENEDO DIEZ-ARAUZ;47-C24-0109;CL. TRASERAS NORTE 12;47170;RENEDO DE ESGUEVA;VALLADOLID;622405258;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLICA DENTAL DIEZ-ARAUZ S.L.;PRIVADOS;41.654614, -4.630319
CLINICA DENTAL RICO EN VALVERDE DEL MAJANO;40-C251-0079;CL. NICOMEDES GARCIA 1;40140;VALVERDE DEL MAJANO;SEGOVIA;921462065;921462065;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA RICO S.L.P.;PRIVADOS;40.9554045, -4.2362135
CLINICA DENTAL ROMERA;47-C251-0319;CL. MOTA 1- LOCAL 3;47008;VALLADOLID;VALLADOLID;983262662;0;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#ODONTOLOGIA / ESTOMATOLOGIA;CLINICAS DENTALES ROMERA SLU;PRIVADOS;41.6279967, -4.7426319
CLINICA DENTAL RUEDA;47-C251-0165;CR. DE RUEDA 52;47008;VALLADOLID;VALLADOLID;983273481;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL RUEDA S.L.;PRIVADOS;41.6238779, -4.7417767
CLINICA DENTAL SAGRARIO GOMEZ-MARTINO ARROYO;37-C251-0028;PS. DE LA ESTACION. 22-26 B 1;37004;SALAMANCA;SALAMANCA;923256476;923256476;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GOMEZ-MARTINO ARROYO , MARIA DEL SAGRARIO;PRIVADOS;40.9693734, -5.6558409
CLINICA DENTAL SAHAGUN;24-C251-0332;AV. CONSTITUCION 36;24320;SAHAGUN;LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;OLIVEIRA COUTO , FRANCIS ADALBERTO;PRIVADOS;42.3700626, -5.0247002
CLINICA DENTAL SAN ANTONIO;37-C251-0095;CL. CORTA 2;37193;CABRERIZOS;SALAMANCA;923209517;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MESONERO PARIENTE , CAROLINA;PRIVADOS;40.97552, -5.6092623
CLINICA DENTAL SAN REMO;24-C251-0339;CL. VIA NUEVA 4;24404;PONFERRADA;LEON;987427626;0;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL SAN REMO SLP;PRIVADOS;42.5454124, -6.5938719
CLINICA DENTAL SAN REMO - PONFERRADA;24-C251-0172;CL. FUEROS DE LEON 1-  E;24402;PONFERRADA;LEON;987174322;987174322;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL SAN REMO SLP;PRIVADOS;42.5484527, -6.6009659
CLINICA DENTAL SAN TELMO;34-C251-0030;AV. SAN TELMO 1  B;34004;PALENCIA;PALENCIA;979727134;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ARANZUBIA RAMOS , JOSE MANUEL;PRIVADOS;41.9981653, -4.5229256
CLINICA DENTAL SAN TORCUATO;49-C251-0026;CL. ALFONSO DE CASTRO 13;49000;ZAMORA;ZAMORA;980525279;980525279;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SANCHEZ LOPEZ , MANUEL RODRIGO;PRIVADOS;41.506975, -5.743556
CLINICA DENTAL SANABRIA;49-C251-0059;CR. DEL LAGO 6;49350;PUENTE (EL);ZAMORA;980620999;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MARIA JIMENEZ , ANA LISSET;PRIVADOS;42.0838404, -6.642701
CLINICA DENTAL SANITAS BURGOS;09-C251-0170;AV. DE LA PAZ 22  A;09004;BURGOS;BURGOS;947425550;0;ESPECIALIZADOS: CLINICAS DENTALES;CIRUGIA MAXILOFACIAL#DEPOSITO DE MEDICAMENTOS#ODONTOLOGIA / ESTOMATOLOGIA;SANITAS NUEVOS NEGOCIOS SLU;PRIVADOS;42.3450223, -3.6918997
CLINICA DENTAL SANITAS SORIA (MILENIUM);42-C251-0046;CL. CAMPO, 2, ESQ. PLAZA SALVADOR;42001;SORIA;SORIA;975243502;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SANITAS NUEVOS NEGOCIOS SLU;PRIVADOS;41.7633842, -2.4642041
CLINICA DENTAL SANTA BARBARA;24-C251-0189;PZ. MAYOR 14  A;24300;BEMBIBRE;LEON;987513894;987513894;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;OVIDENTAL XXI S.L.;PRIVADOS;42.6152534, -6.4163504
CLINICA DENTAL SANTA EULALIA;37-C251-0023;CL. AZAFRANAL 17  F;37002;SALAMANCA;SALAMANCA;923219862;923219862;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;HUERGA DEL HOYO , CARMEN;PRIVADOS;40.9668272, -5.6615185
CLINICA DENTAL SANTA POLONIA;24-C251-0149;AV. LIBERTAD N 3   A;24404;PONFERRADA;LEON;987414858;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL SANTA POLONIA S.L.P.;PRIVADOS;42.5507424, -6.6030964
CLINICA DENTAL SARA RAMOS;37-C251-0254;CM. DE LAS AGUAS 77;37003;SALAMANCA;SALAMANCA;689469720;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;RAMOS GARCIA , SARA;OTRAS ENTIDADES/ORGANISMOS PUBLIC.DEP.AUTONOMICA;40.9624283, -5.6487081
CLINICA DENTAL SARA VARAS;34-C251-0093;AV. CARDENAL CISNEROS 14;34004;PALENCIA;PALENCIA;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;VARAS OROZCO , SARA;PRIVADOS;42.0037105, -4.5249139
CLINICA DENTAL SIMON RUIZ;47-C251-0383;CL. SIMON RUIZ 25;47400;MEDINA DEL CAMPO;VALLADOLID;676367748;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SIMON RUIZ  S.L;PRIVADOS;41.3071807, -4.9131787
CLINICA DENTAL SMILEDENT;24-C251-0327;CL. BURGO NUEVO 36;24001;LEON;LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BURGO NUEVO DENTAL S.L;PRIVADOS;42.59639, -5.573932
CLINICA DENTAL SONRIE;47-C251-0143;CL. VILLANUBLA 26-28;47009;VALLADOLID;VALLADOLID;983342799;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;HERRERA Y OSPINA S.L.;PRIVADOS;41.662666, -4.7349836
CLINICA DENTAL SONRISALUD;09-C251-0134;CL. ALEJANDRO YAGUE ANTIGUA C. ARZOBISPO DE CASTRO 9;09007;BURGOS;BURGOS;947210874;947227083;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;VIMARS INVESTMENTS S.L.;PRIVADOS;42.3520555, -3.6693039
CLINICA DENTAL SONRISALUD ARANDA DE DUERO;09-C251-0110;CL. BURGO DE OSMA 64;09400;ARANDA DE DUERO;BURGOS;947510269;947510280;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;VIMARS INVESTMENTS S.L.;PRIVADOS;41.6655441, -3.68763
CLINICA DENTAL SONRISALUD CL. MIRANDA;09-C251-0152;CL. MIRANDA 17  I;09002;BURGOS;BURGOS;947679976;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BASTLE ESPAÑASL;PRIVADOS;42.3382975, -3.6995685
CLINICA DENTAL SONRISAS TORO;49-C251-0065;CL. ANTIGUA 17;49000;TORO;ZAMORA;980692855;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SONRISAS C.B.;PRIVADOS;41.522018, -5.394664
CLINICA DENTAL SORIAS;37-C251-0174;CL. SORIAS 13;37002;SALAMANCA;SALAMANCA;923211112;0;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;VIANTO DENTAL S.L.;PRIVADOS;40.9667379, -5.6671975
CLINICA DENTAL TABARA;49-C251-0009;CL. SOL 5;49149;TABARA;ZAMORA;980590191;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ESCAJA SASTRE , ALBERTO JOSE;PRIVADOS;41.8252832, -5.9597027
CLINICA DENTAL TEATRO 6;49-C251-0115;CL. TEATRO 6;49400;FUENTESAUCO;ZAMORA;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;SANCHEZ DE MARTIN , MANUEL ANTONIO;PRIVADOS;41.2314414, -5.4955551
CLINICA DENTAL TERESA BARRIO;47-C251-0105;CL. DOCTOR CAZALLA 7  A;47003;VALLADOLID;VALLADOLID;983358989;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BARRIO GARCIA , M TERESA;PRIVADOS;41.6548425, -4.7288896
CLINICA DENTAL TERRON GARCIA;47-C251-0238;PS. DE ISABEL LA CATOLICA 3  B;47001;VALLADOLID;VALLADOLID;983375288;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;TERRON GARCIA , ERNESTO;PRIVADOS;41.6508947, -4.7325939
CLINICA DENTAL TOLEDANA;05-C251-0032;PS. NUESTRA SEÑORA DE SONSOLES, N 1, LOCAL 1;05002;AVILA;AVILA;920256890;920256890;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL TOLEDANA S.L.;PRIVADOS;40.6533631, -4.6965332
CLINICA DENTAL URBINA;37-C251-0198;CL. RAMON Y CAJAL 21;37002;SALAMANCA;SALAMANCA;669705270;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CENTRO ODONTOLOGICO URBINA S.L.;PRIVADOS;40.965764, -5.6687516
CLINICA DENTAL VENEDENT;24-C251-0104;CL. SAN JUAN 2;24006;LEON;LEON;987107123;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ALMEIDA OMAÑA RAMIREZ S.L;PRIVADOS;42.5965387, -5.5637761
CLINICA DENTAL VENTA DE BAÑOS;34-C251-0091;AV. DE LA ESTACION 36 - 2 PISO;34200;VENTA DE BAÑOS;PALENCIA;979816387;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BLANCO HEINS , JOSE LUIS;PRIVADOS;41.9196856, -4.4923831
CLINICA DENTAL VERONICA RUIZ;42-C290-0005;CL. SALAZAR Y TORRES, 8, BAJO;42200;ALMAZAN;SORIA;975300851;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;RUIZ GONZALEZ , VERONICA;PRIVADOS;41.4870645, -2.5335988
CLINICA DENTAL VICTOR ZURITA;47-C251-0359;CL. GAMAZO 9 - 1. IZDA.;47004;VALLADOLID;VALLADOLID;609447577;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ZURITA CLARIANA , VICTOR;PRIVADOS;41.6521328, -4.728562
CLINICA DENTAL VILLANUEVA & DE PABLO;09-C251-0100;AV. DE LA PAZ 10  C;09004;BURGOS;BURGOS;947207450;0;ESPECIALIZADOS: CLINICAS DENTALES;IMPLANTACION DE TEJIDOS#ODONTOLOGIA / ESTOMATOLOGIA;JACOBO PICHARDO , CRISTINA MARIA;PRIVADOS;42.3443232, -3.6943818
CLINICA DENTAL VIRGEN DE FATIMA;24-C251-0225;CL. CALVO SOTELO 27  C;24500;VILLAFRANCA DEL BIERZO;LEON;987540654;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DENTAL VIRGEN DE FATIMA S.L.;PRIVADOS;42.603108, -6.8128018
CLINICA DENTAL VITALDENT;24-C251-0261;PZ. SANTO DOMINGO N 5 BAJO;24002;LEON;LEON;987876340;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GLOBAL LICABETO S.L.U.;PRIVADOS;42.5980359, -5.5720787
CLINICA DENTAL VITALDENT;47-C251-0246;CL. SANTA CLARA 6-8-10;47011;VALLADOLID;VALLADOLID;983320021;983253653;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MAREN ODONTOLOGICA SLU;PRIVADOS;41.6581647, -4.7211153
CLINICA DENTAL VITALDENT;47-C251-0230;PS. DE ZORRILLA 57;47007;VALLADOLID;VALLADOLID;647386643;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CHANE ODONTOLOGICA S.L.;PRIVADOS;41.631043, -4.7407159
CLINICA DENTAL VITALDENT;05-C251-0106;CL. HORNOS CALEROS, 2;05001;AVILA;AVILA;913756560;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GLEN DENT S.L.;PRIVADOS;40.6559676, -4.6873409
CLINICA DENTAL VITALDENT MIRANDA DE EBRO;09-C251-0138;CL. EL CID ESQUINA CL. ALFONSO VI 14;09200;MIRANDA DE EBRO;BURGOS;683159152;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MACE DENTAL S.L.;PRIVADOS;42.68555, -2.9435499
CLINICA DENTAL VITORIA 190;09-C251-0217;CL. VITORIA 188;09007;BURGOS;BURGOS;947225871;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL LIP  S.L.;PRIVADOS;42.3524146, -3.6705758
CLINICA DENTAL VITTALPLUS;34-C251-0076;CL. MUJER PALENTINA 7 - BAJO;34002;PALENCIA;PALENCIA;979104987;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;FLORENT ZONA VERDE S.L.;PRIVADOS;42.0086953, -4.5301478
CLINICA DENTAL W PABLO GONZALEZ;34-C251-0087;CL. EL PUENTE 18;34800;AGUILAR DE CAMPOO;PALENCIA;649251187;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL CAMPOO AGUILAR S.L.;PRIVADOS;42.7928574, -4.263801
CLINICA DENTAL Y MAXILOFACIAL AITZIBER YAGUE CORTAZAR;42-C251-0052;CL. MOSQUERA DE BARNUEVO 10-LOCAL 2-BAJO;42004;SORIA;SORIA;975225980;975225980;ESPECIALIZADOS: CLINICAS DENTALES;CIRUGIA MAXILOFACIAL#ODONTOLOGIA / ESTOMATOLOGIA;CENTRO ODONTOLOGICO ESTETICO Y MAXILOFACIAL S.L.;PRIVADOS;41.7646074, -2.4765635
CLINICA DENT-FAMILY;24-C251-0307;AV. NOCEDO 23 BAJO 23;24007;LEON;LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA ODONTO FAMILY S.L.;PRIVADOS;42.6049177, -5.5690059
CLINICA DERMATOLOGICA DR. CAUNEDO GARCIA;24-C21-0030;AV. GRAN VIA DE SAN MARCOS 21  F;24001;LEON;LEON;987229860;0;CONSULTAS MEDICAS;CIRUGIA MENOR AMBULATORIA#DEPOSITO DE MEDICAMENTOS#DERMATOLOGIA #MEDICINA ESTETICA;ANGIOLAS S.L. CIFB;PRIVADOS;42.5990735, -5.5747698
CLINICA DERMATOLOGICA PILAR MANCHADO LOPEZ;47-C21-0166;CL. ARRIBAS 18  D;47001;VALLADOLID;VALLADOLID;983307429;0;CONSULTAS MEDICAS;DERMATOLOGIA;MANCHADO LOPEZ , PILAR;PRIVADOS;41.6521428, -4.7228646
CLINICA DOCTOR ALCUAZ;47-C21-0405;CL. ESPIRITU SANTO 1-1;47006;VALLADOLID;VALLADOLID;687421405;0;CONSULTAS MEDICAS;OFTALMOLOGIA;ALCUAZ SLU;PRIVADOS;41.6450652, -4.7343158
CLINICA DOCTOR DIEZ LUNA;24-C21-0113;AV. REPBLICA ARGENTINA 5  D;24004;LEON;LEON;987091626;987091626;CONSULTAS MEDICAS;CIRUGIA ESTETICA#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA;DIEZ LUNA , OSCAR;PRIVADOS;42.5945733, -5.5726388
CLINICA DOCTOR JORGE JUAN GACEO;24-C21-0248;PZ. SAN MARCOS MIRALTA COWORKING SANITARIO 2;24001;LEON;LEON;660486899;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;JUAN GACEO , JORGE;PRIVADOS;41.754444, -4.781944
CLINICA DR. ADRIAN BENITO;09-C24-0049;CL. ANTONIO MACHADO 4;09005;BURGOS;BURGOS;680227443;0;CENTROS POLIVALENTES;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA);BENITO DOMINGO , ADRIAN;PRIVADOS;42.346198, -3.693587
CLINICA DR. BENITO DE BENITO;40-C24-0015;PS. EZEQUIEL GONZALEZ 30;40002;SEGOVIA;SEGOVIA;921435648;0;CENTROS POLIVALENTES;APARATO DIGESTIVO#CIRUGIA GENERAL Y DIGESTIVO#CIRUGIA MENOR AMBULATORIA#DEPOSITO DE MEDICAMENTOS#ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA#NUTRICION Y DIETETICA#OBTENCION DE MUESTRAS#PSICOLOGIA CLINICA#VACUNACION;DIGESTIVO SEGOVIA S.L.P.;PRIVADOS;40.9432861, -4.1196981
CLINICA DR. CLAVERO ZOREDA;47-C251-0068;CL. DOCTRINOS 6;47001;VALLADOLID;VALLADOLID;983571010;0;ESPECIALIZADOS: CLINICAS DENTALES;DEPOSITO DE MEDICAMENTOS#ODONTOLOGIA / ESTOMATOLOGIA;CLINICA DR. CLAVERO ZOREDA S.L.;PRIVADOS;41.6491785, -4.7298965
CLINICA DRA. BEATRIZ FERNANDEZ - MEDICINA ESTETICA;24-C21-0257;CL. ROA DE LA VEGA 28;24008;LEON;LEON;693743341;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;FERNANDEZ GARCIA , BEATRIZ;PRIVADOS;43.879092, -1.304472
CLINICA DRA. BLANCO;37-C21-0272;CL. DOCTOR PIÑUELA N 2 - ENTREPLANTA 8;37002;SALAMANCA;SALAMANCA;654501699;0;CONSULTAS MEDICAS;CIRUGIA GENERAL Y DIGESTIVO#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;BLANCO MARTIN , MARIA EUGENIA;PRIVADOS;40.9657166, -5.6634611
CLINICA DRA. CLAVERO;47-C251-0353;CL. PEDRO NIÑO 1;47001;VALLADOLID;VALLADOLID;629025533;0;ESPECIALIZADOS: CLINICAS DENTALES;ANESTESIA Y REANIMACION#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#ODONTOLOGIA / ESTOMATOLOGIA;CLAVERO ZOREDA , BLANCA;PRIVADOS;41.651395, -4.731821
CLINICA DRES. GARCIA;24-C251-0011;AV. DE ESPAÑA 3  D;24400;PONFERRADA;LEON;987413486;0;ESPECIALIZADOS: CLINICAS DENTALES;CIRUGIA MAXILOFACIAL#ODONTOLOGIA / ESTOMATOLOGIA;GARCIA PACIOS , ELENA;PRIVADOS;42.5478427, -6.598805
CLINICA DYNAMIS;37-C22-0709;CL. OBISPO ZARRANZ Y PUEYO18;37700;BEJAR;SALAMANCA;669997284;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;IZQUIERDO SANCHEZ , VICTOR;PRIVADOS;40.3865812, -5.7649619
CLINICA EL ALJIBE;24-C21-0107;AV. LAS MURALLAS 66  B;24700;ASTORGA;LEON;987602020;987641089;CONSULTAS MEDICAS;DERMATOLOGIA;SOTO MORAL , FRANCISCO;PRIVADOS;42.4589273, -6.0570358
CLINICA ESLA;47-C22-0299;CL. TUDELA 3;47002;VALLADOLID;VALLADOLID;681108677;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;CIRUGIA MENOR AMBULATORIA#PODOLOGIA;FELIPE HERNANDEZ , CAROLINA;PRIVADOS;41.6478869, -4.7189224
CLINICA ETIOSALUD;24-C24-0308;CL. LA TORRE 6;24002;LEON;LEON;648692116;0;CENTROS POLIVALENTES;FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA)#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);MERINO DE LA VIUDA , EVA;PRIVADOS;42.590823, -5.571653
CLINICA FBEO VALLADOLID;47-C290-0012;CL. PANADEROS 52;47004;VALLADOLID;VALLADOLID;654060472;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#TERAPIAS NO CONVENCIONALES;REQUENA GARCIA , JESUS;PRIVADOS;41.6450777, -4.7224767
CLINICA FISAP;47-C22-0552;CL. GENERAL ALMIRANTE 7;47003;VALLADOLID;VALLADOLID;678408717;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#FISIOTERAPIA;ALPASIPE S.L.;PRIVADOS;41.659666, -4.728432
CLINICA FISIOPICASSO;37-C22-0659;CL. PONTEVEDRA 22;37003;SALAMANCA;SALAMANCA;628018627;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;SERRADILLA MARTIN , IMANOL;PRIVADOS;40.9681865, -5.6506879
CLINICA FISIOTERAPIA OLIMPICO DE LEON;24-C3-0372;CL. JUSTINO ALCARATE 1;24008;LEON;LEON;0;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#NUTRICION Y DIETETICA;LUENGO MANJON S.L.U;PRIVADOS;42.634353, -5.600412
CLINICA FISIOTERAPIA VICTOR ZARATE;09-C22-0241;AV. REPBLICA ARGENTINA 18;09200;MIRANDA DE EBRO;BURGOS;634468003;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ZARATE MIGUEL , VICTOR;PRIVADOS;42.6846747, -2.9422155
CLINICA FISSARE FISIOTERAPIA AVANZADA;05-C22-0213;CL. CRONISTA EDUARDO RUIZ AYUCAR, 12,  2;05004;AVILA;AVILA;691356855;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;FISIOACTIVA 2022 SL;PRIVADOS;40.656478, -4.7002172
CLINICA GALVAN RECOLETOS CUATRO;47-C251-0088;CL. ACERA RECOLETOS 4;47004;VALLADOLID;VALLADOLID;983398558;0;CENTROS POLIVALENTES;ANESTESIA Y REANIMACION#LOGOPEDIA#ODONTOLOGIA / ESTOMATOLOGIA;CLINICA GALVAN RECOLETOS CUATRO S.L.;PRIVADOS;41.6473479, -4.728632
CLINICA GINECOLOGICA CARAZO;09-C21-0218;CL. CALERUEGA 53  D;09001;BURGOS;BURGOS;947242467;0;CONSULTAS MEDICAS;GINECOLOGIA #OBSTETRICIA;CARAZO PIÑEIRO , M ALEJANDRA;PRIVADOS;42.33438, -3.71661
CLINICA GINECOLOGICA CARRILES;24-C21-0123;CL. PADRE JAVIER DE VALLADOLID 5  A;24005;LEON;LEON;987211233;0;CONSULTAS MEDICAS;GINECOLOGIA #OBSTETRICIA;CARRILES SASTRE , RAUL;PRIVADOS;42.57822, -5.5527271
CLINICA GINECOLOGICA GINEVALL;47-C21-0290;PS. ARCO DE LADRILLO 4;47007;VALLADOLID;VALLADOLID;983476516;983233932;CONSULTAS MEDICAS;GINECOLOGIA #OBSTETRICIA;SILSERSO S.L.;PRIVADOS;41.6438048, -4.7315511
CLINICA GONZALEZ;09-C22-0374;AV. CASTILLA, N. 80, BAJO. PUERTA 8;09400;ARANDA DE DUERO;BURGOS;635015342;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;CLINICA GONZALEZ SC;PRIVADOS;41.658848, -3.692408
CLINICA HERNADENT;37-C251-0059;CL. MARAGATERIA, 14;37006;SALAMANCA;SALAMANCA;600473139;923124848;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ESTETICA DENTAL SALAMANCA S.L.;PRIVADOS;40.9825823, -5.6661738
CLINICA HOLISTIC LARA GARCIA;37-C22-0424;CM. ESTRECHO DE LA ALDEHUELA, 50;37003;SALAMANCA;SALAMANCA;661568238;619962972;CENTROS POLIVALENTES;ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#FISIOTERAPIA#LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);GARCIA MATEOS , LARA;PRIVADOS;40.9643294, -5.6484071
CLINICA HUERTA DEL REY;47-C24-0008;CL. PIO DEL RIO HORTEGA 12- BAJO;47014;VALLADOLID;VALLADOLID;652670505;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;VILLA GARCIA , ENRIQUE;PRIVADOS;41.6506773, -4.7413486
CLINICA IGLESIAS MARTINEZ;24-C251-0340;CL. GENERAL BENAVIDES 1;24750;BAÑEZA (LA);LEON;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CLINICA IGLESIAS MARTINEZ S.L.P.;PRIVADOS;42.302849, -5.901378
